episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-9061.599999999993,-13299.899999999994,-10344.033333333327,600.0,6,2,4000,4000,4000,4000,4000,4000,4000,4000,False,6,1,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-54-34,1660053274,14.495659112930298,14.495659112930298,902,03692bfc52f3,172.28.0.2,14.495659112930298,0,1,9.575725555419922,4000,4000,4000,4000,-9061.599999999993,-13299.899999999994,-10344.033333333327,600.0,6,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994]","[600, 600, 600, 600, 600, 600]",0.21577048218291975,1.1162228848801918,0.20880224941850364,0.4266131704655485,0.0,14493.236,0.196,20385438.639,6567.071,609.1,6.603,4000,4000,4000,4000,67.72380952380952,13.042857142857144,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994]","[600, 600, 600, 600, 600, 600]",0.21577048218291975,1.1162228848801918,0.20880224941850364,0.4266131704655485,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.90356,-0.05171454,9.951802,-0.00026853732,0.017365329,9.845299,0.0
-7278.699999999999,-13299.899999999994,-9725.141666666665,600.0,6,2,8000,8000,8000,8000,4000,4000,8000,8000,False,12,2,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-54-59,1660053299,25.28616452217102,39.78182363510132,902,03692bfc52f3,172.28.0.2,39.78182363510132,0,2,9.575725555419922,8000,8000,8000,8000,-7278.699999999999,-13299.899999999994,-9725.141666666665,600.0,6,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.21570211805374548,1.110529837680115,0.20855476664621023,0.4257155803903723,0.0,14043.712,0.223,17933956.173,6174.532,647.822,6.773,8000,8000,8000,8000,65.00277777777778,13.100000000000001,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.21570211805374548,1.110529837680115,0.20855476664621023,0.4257155803903723,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.853214,-0.05741692,9.907218,-0.0005957144,0.017065037,9.82102,0.0
-7278.699999999999,-13299.899999999994,-10108.959999999997,600.0,8,2,12000,12000,12000,12000,4000,4000,12000,12000,False,20,3,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-55-13,1660053313,13.865140438079834,53.64696407318115,902,03692bfc52f3,172.28.0.2,53.64696407318115,0,3,9.575725555419922,12000,12000,12000,12000,-7278.699999999999,-13299.899999999994,-10108.959999999997,600.0,8,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.2166081204203246,1.1109161966912162,0.20918113418639078,0.4263710991711399,0.0,13983.392,0.23,17409771.013,6051.835,660.957,6.906,12000,12000,12000,12000,69.04,12.819999999999997,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.2166081204203246,1.1109161966912162,0.20918113418639078,0.4263710991711399,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.878655,-0.059561197,9.934808,-0.0001951121,0.01704443,9.79575,0.0
-7278.699999999999,-14078.699999999995,-10510.399999999996,600.0,6,2,16000,16000,16000,16000,4000,4000,16000,16000,False,26,4,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-55-39,1660053339,25.195495128631592,78.84245920181274,902,03692bfc52f3,172.28.0.2,78.84245920181274,0,4,9.575725555419922,16000,16000,16000,16000,-7278.699999999999,-14078.699999999995,-10510.399999999996,600.0,6,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.2168841370296703,1.109897517881554,0.20926217482818907,0.42648853165804046,0.0,13916.731,0.227,17586180.294,6012.206,665.313,6.816,16000,16000,16000,16000,65.19722222222222,12.699999999999998,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.2168841370296703,1.109897517881554,0.20926217482818907,0.42648853165804046,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.862477,-0.06167198,9.920584,-0.0003717391,0.017829316,9.763486,0.0
-6416.299999999998,-14078.699999999995,-10244.756249999999,600.0,6,2,20000,20000,20000,20000,4000,4000,20000,20000,False,32,5,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-55-54,1660053354,15.097603797912598,93.94006299972534,902,03692bfc52f3,172.28.0.2,93.94006299972534,0,5,9.575725555419922,20000,20000,20000,20000,-6416.299999999998,-14078.699999999995,-10244.756249999999,600.0,6,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.21849629093495704,1.1158499637910841,0.21034894427892625,0.4302001595595077,0.0,14152.345,0.227,17593557.047,5977.609,669.164,6.768,20000,20000,20000,20000,76.97727272727273,12.699999999999996,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.21849629093495704,1.1158499637910841,0.21034894427892625,0.4302001595595077,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.871304,-0.068773955,9.936137,-1.5876562e-05,0.019702323,9.738523,0.0
-6416.299999999998,-14078.699999999995,-9876.362499999997,600.0,8,2,24000,24000,24000,24000,4000,4000,24000,24000,False,40,6,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-56-19,1660053379,25.175689697265625,119.11575269699097,902,03692bfc52f3,172.28.0.2,119.11575269699097,0,6,9.575725555419922,24000,24000,24000,24000,-6416.299999999998,-14078.699999999995,-9876.362499999997,600.0,8,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.21957547881801154,1.1192028894562254,0.21103649694137303,0.43260437326314494,0.0,14069.744,0.227,17601555.517,5960.2,671.118,6.747,24000,24000,24000,24000,64.67777777777779,12.699999999999998,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.21957547881801154,1.1192028894562254,0.21103649694137303,0.43260437326314494,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.862357,-0.06889482,9.927453,-0.00097014545,0.0189902,9.7027445,0.0
-6416.299999999998,-14078.699999999995,-9691.773913043477,600.0,6,2,28000,28000,28000,28000,4000,4000,28000,28000,False,46,7,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-56-33,1660053393,13.72661018371582,132.8423628807068,902,03692bfc52f3,172.28.0.2,132.8423628807068,0,7,9.575725555419922,28000,28000,28000,28000,-6416.299999999998,-14078.699999999995,-9691.773913043477,600.0,6,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995, -10176.399999999998, -8457.599999999991, -9201.699999999995, -7108.7, -9021.999999999998, -6800.7]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.22005290614482337,1.120364155338838,0.2113122654687034,0.4335030223124523,0.0,14020.355,0.23,17426993.916,5945.9,672.732,6.709,28000,28000,28000,28000,69.41,12.699999999999998,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995, -10176.399999999998, -8457.599999999991, -9201.699999999995, -7108.7, -9021.999999999998, -6800.7]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.22005290614482337,1.120364155338838,0.2113122654687034,0.4335030223124523,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.858501,-0.06634016,9.921142,-0.00076656975,0.018501814,9.66567,0.0
-6416.299999999998,-14078.699999999995,-9664.79615384615,600.0,6,2,32000,32000,32000,32000,4000,4000,32000,32000,False,52,8,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-56-58,1660053418,25.162908792495728,158.00527167320251,902,03692bfc52f3,172.28.0.2,158.00527167320251,0,8,9.575725555419922,32000,32000,32000,32000,-6416.299999999998,-14078.699999999995,-9664.79615384615,600.0,6,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995, -10176.399999999998, -8457.599999999991, -9201.699999999995, -7108.7, -9021.999999999998, -6800.7, -10607.499999999996, -10032.999999999996, -10080.8, -7795.799999999998, -8489.3, -9741.399999999994]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.22032865349046368,1.1206548252207886,0.21143660749876708,0.4339717346421911,0.0,13973.002,0.23,17356488.814,5933.839,674.1,6.69,32000,32000,32000,32000,64.4861111111111,12.699999999999998,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995, -10176.399999999998, -8457.599999999991, -9201.699999999995, -7108.7, -9021.999999999998, -6800.7, -10607.499999999996, -10032.999999999996, -10080.8, -7795.799999999998, -8489.3, -9741.399999999994]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.22032865349046368,1.1206548252207886,0.21143660749876708,0.4339717346421911,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.879278,-0.068670966,9.944292,-0.0024972982,0.018285029,9.634862,0.0
-5567.000000000003,-14078.699999999995,-9533.238333333333,600.0,8,2,36000,36000,36000,36000,4000,4000,36000,36000,False,60,9,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-57-12,1660053432,13.557021856307983,171.5622935295105,902,03692bfc52f3,172.28.0.2,171.5622935295105,0,9,9.575725555419922,36000,36000,36000,36000,-5567.000000000003,-14078.699999999995,-9533.238333333333,600.0,8,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995, -10176.399999999998, -8457.599999999991, -9201.699999999995, -7108.7, -9021.999999999998, -6800.7, -10607.499999999996, -10032.999999999996, -10080.8, -7795.799999999998, -8489.3, -9741.399999999994, -12252.4, -10477.499999999998, -9081.3, -5567.000000000003, -10981.999999999995, -7449.6, -6334.1, -7280.999999999997]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.2205356167407519,1.120431456807032,0.2114983082406422,0.434228799000817,0.0,13926.49,0.234,17088608.42,5914.407,676.315,6.686,36000,36000,36000,36000,68.76315789473685,12.699999999999998,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995, -10176.399999999998, -8457.599999999991, -9201.699999999995, -7108.7, -9021.999999999998, -6800.7, -10607.499999999996, -10032.999999999996, -10080.8, -7795.799999999998, -8489.3, -9741.399999999994, -12252.4, -10477.499999999998, -9081.3, -5567.000000000003, -10981.999999999995, -7449.6, -6334.1, -7280.999999999997]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.2205356167407519,1.120431456807032,0.2114983082406422,0.434228799000817,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.878407,-0.064822786,9.9398985,0.0004797881,0.016653247,9.608142,0.0
-5567.000000000003,-14078.699999999995,-9557.757575757574,600.0,6,2,40000,40000,40000,40000,4000,4000,40000,40000,False,66,10,bbf99_00000,382274f926774abbb7dd9c46239fdbe9,2022-08-09_13-57-38,1660053458,25.313382387161255,196.87567591667175,902,03692bfc52f3,172.28.0.2,196.87567591667175,0,10,9.575725555419922,40000,40000,40000,40000,-5567.000000000003,-14078.699999999995,-9557.757575757574,600.0,6,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995, -10176.399999999998, -8457.599999999991, -9201.699999999995, -7108.7, -9021.999999999998, -6800.7, -10607.499999999996, -10032.999999999996, -10080.8, -7795.799999999998, -8489.3, -9741.399999999994, -12252.4, -10477.499999999998, -9081.3, -5567.000000000003, -10981.999999999995, -7449.6, -6334.1, -7280.999999999997, -8588.99999999999, -10446.599999999995, -8207.800000000003, -13042.09999999999, -9600.799999999996, -8931.399999999998]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.2206163597854175,1.1199823942950884,0.21149921516868012,0.4342827790810612,0.0,13908.28,0.234,17060418.955,5918.41,675.857,6.722,40000,40000,40000,40000,65.19999999999999,12.699999999999998,"[-10100.899999999996, -9103.499999999998, -10713.999999999995, -9061.599999999993, -9784.3, -13299.899999999994, -9923.5, -10109.500000000004, -7278.699999999999, -7553.799999999999, -9889.599999999995, -9882.399999999998, -10835.800000000001, -10210.699999999988, -12283.699999999997, -9431.499999999998, -11715.199999999999, -11236.599999999995, -11914.199999999995, -7849.800000000002, -12093.499999999998, -10296.299999999996, -10200.9, -14078.699999999995, -10638.399999999998, -13783.400000000001, -9438.6, -6416.299999999998, -9893.899999999996, -9601.3, -10611.8, -8599.900000000005, -9838.399999999992, -8801.099999999997, -7692.399999999998, -8075.499999999995, -9275.299999999996, -9167.999999999996, -6723.699999999995, -7647.899999999995, -10176.399999999998, -8457.599999999991, -9201.699999999995, -7108.7, -9021.999999999998, -6800.7, -10607.499999999996, -10032.999999999996, -10080.8, -7795.799999999998, -8489.3, -9741.399999999994, -12252.4, -10477.499999999998, -9081.3, -5567.000000000003, -10981.999999999995, -7449.6, -6334.1, -7280.999999999997, -8588.99999999999, -10446.599999999995, -8207.800000000003, -13042.09999999999, -9600.799999999996, -8931.399999999998]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.2206163597854175,1.1199823942950884,0.21149921516868012,0.4342827790810612,0.0,128.0,0.20000000298023224,4.999999873689376e-05,9.860798,-0.07423249,9.931396,-0.0019449079,0.018175265,9.583817,0.0
